Student,LPIPS,SSIM
112598038.jpg,0.23784880340099335,0.8727857483719964
112C71014.jpg,0.2500229775905609,0.8891729663360262
112598057.jpg,0.25574415922164917,0.8795842629310802
112C52004.jpg,0.2649562954902649,0.8691641102827493
112598067.jpg,0.3198980689048767,0.881296552334597
110599004.jpg,0.3429103493690491,0.8515922573345482
112598033.jpg,0.35083290934562683,0.8681714694173391
